CODE: 0     BEGINPROG_TOKEN     VALUE: BEGINPROG      n° line: 1 
CODE: 54     CP_TOKEN     VALUE: )      n° line: 22 
CODE: 39     SC_TOKEN     VALUE: ;      n° line: 22 
CODE: 23     CLOSEFOR_TOKEN     VALUE: CLOSEFOR      n° line: 23 
CODE: 12     WHILE_TOKEN     VALUE: WHILE      n° line: 24 
CODE: 60     ID_TOKEN     VALUE: C      n° line: 24 
CODE: 48     INF_TOKEN     VALUE: <      n° line: 24 
CODE: 61     NUM_TOKEN     VALUE: 11      n° line: 24 
CODE: 60     ID_TOKEN     VALUE: THEN      n° line: 24 
CODE: 14     SHOW_TOKEN     VALUE: SHOW      n° line: 24 
CODE: 53     OP_TOKEN     VALUE: (      n° line: 24 
CODE: 60     ID_TOKEN     VALUE: TEST      n° line: 24 
CODE: 54     CP_TOKEN     VALUE: )      n° line: 24 
CODE: 39     SC_TOKEN     VALUE: ;      n° line: 24 
CODE: 5     CLOSEFUNC_TOKEN     VALUE: CLOSEFUNC      n° line: 31 
CODE: 7     PRINCIPAL_TOKEN     VALUE: PRINCIPAL      n° line: 31 
CODE: 1     CLOSEPROG_TOKEN     VALUE: CLOSEPROG      n° line: 32 
CODE: 64     EOF_TOKEN     VALUE: EndOfFile      n° line: 36 
